host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,5.0,5,79.0
SUPERHOST,Hotel room in Manhattan,Manhattan,City Queen – Terrace,2.0,4.55,69,125.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Beautiful 2 Double Bed Hotel Room,4.0,4.91,11,79.0
SUPERHOST,Private room in Queens,Queens,Spacious furnished room in Astoria NYC. Free WiFi!,1.0,na,na,20.0
SUPERHOST,Entire place in Midtown,Midtown,Adorable midtown studio,2.0,5.0,3,60.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Spacious King size room,2.0,4.63,8,80.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Gild Hall, Luxury King Room and Complimentary WiFi",2.0,4.6,5,100.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,2 Beds Private Suite w/ Kitchen near Penn Station,4.0,3.43,87,86.0
SUPERHOST,Private room in Kips Bay,KipsBay,Cozy space in midtown Manhattan,1.0,na,na,42.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Time’s Square Cozy room,2.0,5.0,6,40.0
SUPERHOST,Entire guest suite in Queens,Queens,"Cozy Modern Studio in Astoria,20 min to Manhattan",2.0,4.87,141,68.0
SUPERHOST,Private room in Queens,Queens,"Airy Couple Room, well-situated & 2mins to station",2.0,na,na,23.0
SUPERHOST,Entire apartment in Williamsburg,Williamsburg,Incredible studio with private backyard.,3.0,4.5,60,70.0
SUPERHOST,Room in boutique hotel in Midtown,boutiquehotelinMidtown,"Citadines Connect 5th Ave, Premier King",2.0,4.57,82,97.0
SUPERHOST,Private room in Tribeca,Tribeca,Bedroom available! - TriBeCa/Financial Manhattan!,1.0,4.7,44,50.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Private & Cozy Studio in the center of NYC,2.0,5.0,8,46.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,Private and Spacious Queen Room Across From MSG,2.0,4.02,137,68.0
SUPERHOST,Private room in Times Square/Theatre District,TimesSquare/TheatreDistrict,Private bedroom near Central Park South,1.0,5.0,3,40.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.88,8,89.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Home away from home - Entire private apartment,2.0,na,na,45.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,4.86,7,79.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Bunk Room,2.0,na,na,69.0
SUPERHOST,Entire apartment in Midtown,Midtown,Exceptional Junior One Bedroom Suite in Midtown,2.0,4.83,6,60.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View 2 Double Beds Hotel Room,4.0,4.5,8,89.0
SUPERHOST,Entire apartment in Melrose,Melrose,Downtown Bronx Studio 15 min ride to Manhattan,3.0,4.86,28,62.0
SUPERHOST,Entire apartment in Midtown,Midtown,Cute Junior one bedroom Suite in Midtown NYC,3.0,4.5,4,60.0
SUPERHOST,Private room in Pelham Bay,PelhamBay,TW #5 Private Rm- 1st Fl. Queen Bed 1 to 2 Guests,2.0,4.82,49,41.0
SUPERHOST,Private room in Glendale,Glendale,Private room with visit to queens # 3,2.0,4.9,109,35.0
SUPERHOST,Entire apartment in West Village,WestVillage,"1 Bedroom - Gay Street, West Village!",2.0,na,na,83.0
SUPERHOST,Private room in East Village,EastVillage,Radha Budget Cozy Private Room (fights NYC Hunger),2.0,4.5,18,50.0
SUPERHOST,Entire apartment in Upper East Side,UpperEastSide,1-BD Upper East Side Apt (extended stay available),4.0,na,na,70.0
SUPERHOST,Private room in Queens,Queens,"Vibrant RM in Astoria. Recent built, 3min->sta",1.0,na,na,27.0
SUPERHOST,Private room in Bushwick,Bushwick,Amazing Modern ROOM,2.0,na,na,36.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.87,15,89.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Entire apartment in Midtown,Midtown,Special Junior 1 bedroom suite in the heart of NYC,2.0,na,na,60.0
SUPERHOST,Private room in Park Slope,ParkSlope,"Friendly, unpretentious, close to the subway",2.0,4.92,88,34.0
SUPERHOST,Private room in East Village,EastVillage,Great Room in Lively East Village,2.0,4.91,450,55.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Time’s Square Queen room,2.0,5.0,10,38.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,BEST LOCATION - Lovely room by Times Square!!!,2.0,4.74,150,38.0
SUPERHOST,Entire apartment in West Village,WestVillage,Studio in the Best location in Manhattan,2.0,4.27,223,55.0
SUPERHOST,Private room in Crown Heights,CrownHeights,"Clean and cozy room, short walk to 3/4 trains.",2.0,4.94,18,35.0
,,,,,,,
SUPERHOST,Entire apartment in Manhattan,Manhattan,Bowery Queen size room,2.0,na,na,100.0
SUPERHOST,Entire guest suite in Brooklyn,Brooklyn,Garden Delight in Brooklyn!,4.0,5.0,3,69.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Cozy and Artsy 1-Bedroom Apt in Carroll Gardens,3.0,5.0,3,59.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Cozy Mini Studio Prvt Bath & Kitchen 15 Mins JFK,2.0,4.51,157,51.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.33,9,89.0
SUPERHOST,Private room in Crown Heights,CrownHeights,Brooklyn Apartment steps away from Brooklyn Museum,2.0,4.87,188,50.0
SUPERHOST,Entire place in Midtown,Midtown,Quiet Studio in Midtown manhattan,2.0,5.0,3,60.0
SUPERHOST,Entire apartment in Midtown,Midtown,~ NEWLY RENOVATED STUDIO ~ GRAND CENTRAL ~,2.0,na,na,62.0
SUPERHOST,Private room in Bushwick,Bushwick,ARTIST LOFT IN CONVERTED FACTORY - NEAR 2 METROS,2.0,4.42,76,30.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Extremely Large Room in Remodeled Brownstone!,1.0,4.9,20,50.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Private Sunny Room 15min from Manhattan,2.0,4.66,349,46.0
SUPERHOST,Private room in Manhattan,Manhattan,PRIME Location! Midtown Private Room 1-King bed,2.0,4.92,25,50.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Hendrix Street Gem Rm #3,2.0,4.32,169,35.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,"138 Bowery, Classic Queen Room",2.0,4.14,7,70.0
SUPERHOST,Shared room in Hell's Kitchen,Hell'sKitchen,Shared room in midtown west manhattan,1.0,4.33,9,29.0
SUPERHOST,Private room in Manhattan,Manhattan,"True Hidden Gem, Center of Downtown NY",2.0,4.93,61,65.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Water View King Bed Hotel Room,2.0,5.0,8,89.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Water View King Bed Hotel Room,2.0,5.0,5,89.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Luxurious studio near NYU Hospital,2.0,4.8,10,60.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Williamsburg Penthouse Hideaway,2.0,4.63,504,50.0
SUPERHOST,Private room in Manhattan,Manhattan,PRIME Location! Midtown Private Room 2-Queen Bed,2.0,4.63,16,50.0
SUPERHOST,Private room in Manhattan,Manhattan,"Safe, simple, quiet and clean room near Chinatown2",2.0,na,na,46.0
SUPERHOST,Private room in Union Square,UnionSquare,Near Gramercy Park/ Private Entrance,2.0,4.47,32,43.0
SUPERHOST,Entire apartment in Flatbush,Flatbush,"Airy, Private, Spacious ✨ Prospect Park",4.0,4.55,76,68.0
SUPERHOST,Private room in Queens,Queens,Grey Area in Queens,2.0,4.79,28,45.0
SUPERHOST,Private room in Manhattan,Manhattan,Cute Room. Manhattan. 20 min train to Time Square!,3.0,4.52,183,40.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Williamsburg Penthouse Guestroom,2.0,4.69,505,51.0
SUPERHOST,Private room in Manhattan,Manhattan,"Quaint, Convenient Upper East Side",2.0,4.79,43,24.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Sonder *Weekly Specials* Studio Near Zuccotti Park,2.0,4.54,70,108.0
SUPERHOST,Private room in Manhattan,Manhattan,NEW! Chic Designer Vanilla,2.0,4.8,76,53.0
SUPERHOST,Private room in Queens,Queens,Quiet Neighborhood near the beach,1.0,4.83,23,57.0
SUPERHOST,Private room in Crown Heights,CrownHeights,Clean & Spacious King Bedroom,2.0,4.77,184,40.0
SUPERHOST,Entire house in Jersey City,JerseyCity,The Brick Studio only 30 Mins to NYC,4.0,4.44,137,41.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Private Room w/ AC special rate room,1.0,4.56,99,32.0
SUPERHOST,Entire apartment in Midtown,Midtown,Bright Junior 1 bedroom Suite in the heart of NYC,3.0,na,na,60.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.87,15,89.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Entire apartment in Midtown,Midtown,Excellent studio in Midtown Manhattan,2.0,4.67,3,60.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,INVITING BRIGHT & STYLISH STUDIO,2.0,4.69,37,89.0
SUPERHOST,Private room in Pelham Bay,PelhamBay,TW#4 Private Rm 1st Fl Full Size Bed 1 Guest Only,1.0,4.79,39,35.0
SUPERHOST,Private room in Manhattan,Manhattan,Extra Large Room on 143 street,4.0,4.56,9,42.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,"138 Bowery, King Studio Room",2.0,4.83,12,110.0
SUPERHOST,Private room in Chinatown,Chinatown,"Private bedroom in Chinatown, NYC, #1",2.0,4.51,118,79.0
SUPERHOST,Private room in Bushwick,Bushwick,Bk's Finest City life close to Transportation,2.0,4.48,302,45.0
SUPERHOST,Hotel room in Manhattan,Manhattan,"Single Cabins (Chelsea, Manhattan, NYC)",1.0,4.21,453,52.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Super clean apt w private backyard. Manhattan LES,3.0,4.89,18,60.0
SUPERHOST,Private room in Jersey City,JerseyCity,Great space and prime location!! Very walkable!,1.0,4.83,48,31.0
SUPERHOST,Private room in Manhattan,Manhattan,Lovely Central Park Upper West Side,2.0,4.9,41,28.0
SUPERHOST,Private room in Union,Union,Quiet Room Newark International Airport Queen bed,2.0,5.0,3,30.0
SUPERHOST,Private room in Upper East Side,UpperEastSide,Private room by Central Park,2.0,5.0,5,39.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Optimized Micro-Studio in the center of NYC,1.0,5.0,8,43.0
SUPERHOST,Entire apartment in Bushwick,Bushwick,Private studio! Thoroughly disinfected 1A,2.0,4.81,302,50.0
SUPERHOST,Entire apartment in Sunset Park,SunsetPark,Sunset Park Studio,2.0,4.94,33,90.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.5,8,89.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Large King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Large King Bed Hotel Room,2.0,4.75,4,77.0
SUPERHOST,Entire place in Midtown,Midtown,Cozy Studio in midtown Manhattan,2.0,4.33,3,60.0
SUPERHOST,Private room in Manhattan,Manhattan,Serene & Spacious Manhattan Room Near the Station,1.0,5.0,4,26.0
SUPERHOST,Entire condominium in Brooklyn,iuminBrooklyn,Cozy + Chic Brooklyn Duplex,3.0,na,na,90.0
SUPERHOST,Private room in Manhattan,Manhattan,Private Bedroom in the Heart of the LES,2.0,4.83,18,24.0
SUPERHOST,Entire apartment in Midtown,Midtown,Studio apartment near Columbus Circle/Central Park,2.0,4.82,92,49.0
SUPERHOST,Private room in East Elmhurst,EastElmhurst,"Cozy Private Room, Walking Distance From LGA,Rm-7",1.0,4.68,50,35.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Private room in Williamsburg,1.0,na,na,24.0
SUPERHOST,Private room in Jamaica,Jamaica,Clean&Simple (45 minutes to Manhattan) Near JFK,2.0,4.8,186,39.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Private Brooklyn Bedroom in Brownstone Near Subway,1.0,5.0,11,41.0
SUPERHOST,Private room in Queens,Queens,Room super close to Midtown! 2 mins->subway,1.0,5.0,4,28.0
SUPERHOST,Private room in Queens,Queens,Unique minimalistic Sunnyside rm ->to Mnhttn/sbwy.,1.0,na,na,24.0
SUPERHOST,Private room in Union Square,UnionSquare,Cozy Studio in Gramercy park,2.0,4.69,32,44.0
SUPERHOST,Entire apartment in Midtown,Midtown,Midtown West One Bedroom near Tourist Attractions,3.0,na,na,103.0
SUPERHOST,Entire apartment in Jersey City,JerseyCity,Retro 90’s Vintage Style Duplex 1BR/1.5BA By NYC,2.0,4.89,75,69.0
